fpr,tpr
0.0,0.0
0.0,0.000427715996578272
0.0,0.028656971770744225
0.0,0.02951240376390077
0.0,0.10307955517536356
0.0,0.10393498716852011
0.0,0.20872540633019676
0.00013457139012245997,0.20872540633019676
0.00013457139012245997,0.23053892215568864
0.0005382855604898399,0.23053892215568864
0.0005382855604898399,0.23182207014542344
0.0006728569506122998,0.23182207014542344
0.0006728569506122998,0.2399486740804106
0.0008074283407347598,0.2399486740804106
0.0008074283407347598,0.2416595380667237
0.0010765711209796797,0.2416595380667237
0.0010765711209796797,0.2643284858853721
0.0012111425111021397,0.2643284858853721
0.0012111425111021397,0.26518391787852863
0.0013457139012245996,0.26518391787852863
0.0013457139012245996,0.26817792985457656
0.0016148566814695195,0.26817792985457656
0.0016148566814695195,0.26988879384088965
0.0017494280715919794,0.26988879384088965
0.0017494280715919794,0.27245508982035926
0.0018839994617144396,0.27245508982035926
0.0018839994617144396,0.2737382378100941
0.0020185708518368995,0.2737382378100941
0.0020185708518368995,0.27929854576561164
0.0021531422419593595,0.27929854576561164
0.0021531422419593595,0.28100940975192473
0.0022877136320818194,0.28100940975192473
0.0022877136320818194,0.28186484174508125
0.0024222850222042794,0.28186484174508125
0.0024222850222042794,0.28699743370402053
0.0025568564123267393,0.28699743370402053
0.0025568564123267393,0.3058169375534645
0.0026914278024491992,0.3058169375534645
0.0026914278024491992,0.30710008554319934
0.002825999192571659,0.30710008554319934
0.002825999192571659,0.3118049615055603
0.002960570582694119,0.3118049615055603
0.002960570582694119,0.3135158254918734
0.003229713362939039,0.3135158254918734
0.003229713362939039,0.3177929854576561
0.003498856143183959,0.3177929854576561
0.003498856143183959,0.3203592814371258
0.0036334275333064193,0.3203592814371258
0.0036334275333064193,0.32164242942686055
0.003767998923428879,0.32164242942686055
0.003767998923428879,0.32848588537211293
0.003902570313551339,0.32848588537211293
0.003902570313551339,0.3306244653550043
0.004171713093796259,0.3306244653550043
0.004171713093796259,0.33447390932420873
0.004306284483918719,0.33447390932420873
0.004306284483918719,0.334901625320787
0.0044408558740411785,0.334901625320787
0.0044408558740411785,0.3361847733105218
0.004709998654286098,0.3361847733105218
0.004709998654286098,0.33704020530367834
0.004844570044408559,0.33704020530367834
0.004844570044408559,0.3383233532934132
0.005248284214775939,0.3383233532934132
0.005248284214775939,0.339606501283148
0.0053828556048983985,0.339606501283148
0.0053828556048983985,0.3413173652694611
0.005517426995020859,0.3413173652694611
0.005517426995020859,0.34473909324208724
0.005651998385143318,0.34473909324208724
0.005651998385143318,0.34773310521813516
0.005921141165388238,0.34773310521813516
0.005921141165388238,0.3550042771599658
0.006055712555510699,0.3550042771599658
0.006055712555510699,0.35543199315654406
0.006190283945633158,0.35543199315654406
